"Permit_ID","OpenTableID"
30,45
547,953
592,49693
609,73783
778,58333
917,48025
1089,11242
1139,81949
1206,4977
1207,4977
1213,36310
1215,2268
1220,20707
1235,5071
1238,6120
1249,7954
1261,2306
1294,67291
1302,2743
1304,735
1311,1835
1316,38374
1320,55726
1338,32326
1339,34924
1373,12589
1376,39388
1390,11503
1398,6639
1399,1548
1420,1063
1462,2572
1466,35236
1467,2291
1478,7036
1484,1517
1488,2288
1493,6320
1500,69577
1519,15952
1529,377
1537,11122
1541,845
1556,11368
1561,73783
1606,7212
1618,3005
1625,1118
1632,2146
1634,2290
1645,101011
1651,28897
1652,17860
1657,90571
1680,1907
1697,24049
1703,5626
1710,2506
1726,3182
1738,4188
1753,62482
1767,2691
1774,271
1776,8094
1805,65419
1829,44341
1848,2435
1859,80548
1860,32494
1870,41380
1879,46729
1885,70417
1903,95716
1916,45367
1920,43534
1928,23491
1934,4729
1950,7280
1974,56896
1987,6695
1994,80104
2012,77824
2034,11359
2059,4088
2077,69478
2087,17320
2119,1698
2129,102589
2136,3809
2160,67237
2181,15244
2217,102850
2225,42727
2292,1019
2332,19810
2350,434
2363,65290
2414,28738
2428,89239
2430,428
2452,11152
2463,81148
2466,58522
2476,23089
2490,6886
2580,329
2589,1084
2632,17770
2637,233
2662,93973
2692,23608
2718,105730
2727,105736
2744,33364
2751,11338
2757,14371
2763,464
2774,1745
2779,3528
2807,10189
2825,54586
2838,92377
2859,15880
2860,24352
2867,26332
2877,3867
2899,3006
2905,1125
2947,19054
2962,2304
2964,2744
2965,1549
3001,6238
3007,51382
3022,95242
3026,60841
3046,60124
3056,5781
3170,30745
3174,22411
3188,10666
3262,28213
3298,27085
3299,32365
3302,45292
3338,100186
3377,88432
3378,88432
3388,3672
3396,28840
3403,1031
3449,4882
3455,102871
3470,96016
3508,5841
3534,15052
3574,18328
3618,6721
3757,5674
3779,2069
3801,5853
3805,1825
3809,5302
3819,49489
3827,30475
3831,2723
3854,82687
3868,3502
3882,7324
3884,12382
3885,4211
3888,5774
3923,1391
3960,2071
3964,6729
3973,1827
3980,349
3985,2328
3998,24043
4000,2725
4004,5075
4015,29509
4019,60145
4026,6737
4040,29503
4049,24667
4050,2327
4051,5542
4055,20155
4058,52291
4301,84973
4319,103519
4348,66289
4380,4253
4385,101389
4386,53998
4395,66595
4410,104260
4475,104440
4481,7096
4482,7095
4671,24712
4690,47425
4772,6729
4780,104857
4784,27877
4832,25000
4868,104260
4880,102589
4904,36553
4923,43660
4959,56713
5036,47011
5058,101011
5065,54385
5067,54385
5073,45784
5099,93973
5114,27082
5116,91189
5137,52600
5169,84946
5195,50290
5199,38905
5255,61405
5258,964
5297,37360
5300,44884
5312,52834
5350,58369
5352,56176
5357,55234
5386,50647
5439,44344
5454,104860
5483,67201
5505,66595
5508,45367
5535,36640
5548,59506
5558,96418
5565,1825
5576,60124
5578,46420
5586,46363
5614,58150
5646,102970
5656,38068
5657,59671
5664,31513
5667,3868
5722,13084
5736,59947
5784,35695
5790,6592
5803,65686
5845,23050
5852,96472
5855,60367
5861,63184
5895,11242
5915,59809
5956,105982
5959,65221
5992,49693
6017,67330
6019,41428
6105,33064
6106,13405
6108,69664
6137,2290
6224,95242
6226,68611
6315,66289
6334,93844
6369,72763
6387,73099
6388,98488
6395,79249
6403,73273
6412,84988
6439,6015
6447,79498
6491,99115
6516,12073
6531,83416
6566,85087
6579,83077
6603,85009
6686,71056
6707,97729
6718,27082
6727,87739
6749,104863
6792,88816
6822,54586
6854,98842
6860,102298
6871,1265
6872,6592
6917,99871
6930,30151
6933,102463
6938,70417
6947,54586
6948,95713
6951,54589
6960,103633
7010,1118
7012,101629
7037,39091
7049,11368
7059,84946
7073,100186
7085,11503
7115,93802
7130,91621
7179,98485
7185,77824
7186,87277
7192,96355
7220,17860
7227,96361
93287,100186
101241,80422
137257,23089
137268,36640
137284,36553
137291,36580
137295,4729
137296,23050
137297,33364
147247,94735
147254,97738
147319,101110
147339,103519
147345,42019
147346,97492
147403,105268
147404,48025
147407,103027
147411,38068
147430,104143
147436,14461
147478,104356
147572,45292
147578,61618
147592,102241
147595,106324
147648,6635
147656,36583
147705,106252
147724,33742
147738,106702
147803,111517
147822,111340
147878,111988
147888,4252
148084,42727
148128,115906
148156,119218
148157,118537
148158,37405
148173,38902
148181,107671
148185,118723
148190,1744
172323,139390
172429,139126
172637,147775
172668,148099
172677,84946
172682,148486
